term,description,active,related_terms,don’t,comment,part_of_speech,changed_on,changed_by,location,translatable,case_sensitive,de-CH,comment_de-CH,don’t_de-CH,fr-CH,comment_fr-CH,don’t_fr-CH,it-CH,comment_it-CH,don’t_it-CH,en-GB,SME,Fiduciary,type,technical_term_contacts,technical_term_addresses,technical_term_subscription_and_checkout
amount,Used in a discount position on a sales document. For discounts you can choose if it’s an amount or a percentage,TRUE,,,,noun,2025-08-19,Nicolas Scherrer,,TRUE,FALSE,Betrag,,,montant,,,importo,,,amount,,,,,,
annual reporting,SMBs can apply for annual reporting of their VAT reporting at the FTA (Federal Tax Administration),TRUE,,,,adjective + noun,2025-09-12,Nicolas Scherrer,,TRUE,FALSE,jährliche Abrechnung,,,déclaration annuelle,,,rapporto annuale,,,annual reporting,,,,,,
API,Abbreviation for application programming interface,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,API,Use the article “die” for German,,API,,,API,,,API,,,,,,
app,Other software of the providers in the App Marketplace,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,App,,,app,,,app,,,app,,,,,,
App Marketplace,Brand name of our Marketplace. Is deliberately written without a hyphen,FALSE,Marketplace,,,noun + noun,2024-10-16,Nicolas Scherrer,,FALSE,FALSE,,,,,,,,,,App Marketplace,,,,,,
approve,Only used in address split. If a proposal needs to be checked and verified.,TRUE,,,,verb,2025-11-04,Nicolas Scherrer,,TRUE,FALSE,akzeptieren,,,approuver,,,approvare,,,approve,,,,,,
asset,1 out of 5 accounting account classifications. Used for structuring the chart of accounts and subsequently the balance sheet and income statement,TRUE,"account
account classification
account group
accounting account",,,noun,2025-10-03,Nicolas Scherrer,,TRUE,FALSE,Aktiv,,,actif,,,attivo,,,asset,,,,,,
balance,Plural of balance,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Saldi,Use the article “die” for German,,soldes,,,saldi,,,balance,,,,,,
balance sheet,Report for year-end-closing. Contains assets and liabilities,TRUE,"account
account classification
account group
accounting account",,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Bilanz,,,bilan,,,bilancio,,,balance sheet,,,,,,
bank account,"To reduce confusion with the accounting accounts, always use this term",TRUE,,account,,noun,2025-09-08,Nicolas Scherrer,,TRUE,FALSE,Bankkonto,,,compte bancaire,,,conto bancario,,,bank account,,,,,,
bank interface,The connection between a bexio bank account and an e-banking bank account,TRUE,,banking interface,,noun + noun,2025-05-16,Nicolas Scherrer,,TRUE,FALSE,Bankschnittstelle,,Bankenschnittstelle,interface bancaire,,,interfaccia bancaria,,,bank interface,,,,,,
bank transaction,Singular of bank transactions,TRUE,,transaction,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Banktransaktion,,,transaction bancaire,,,transazione bancaria,,,bank transaction,,,,,,
bank transactions,The name for credit and debit transactions from the bank that can be imported into bexio,TRUE,,transactions,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Banktransaktionen,,,transactions bancaires,,,transazioni bancarie,,,bank transactions,,,,,,
banking,Name of the section in the navigation,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,FALSE,FALSE,,,,,,,,,,banking,,,,,,
bexio,"Always write our company name in lower case, even at the beginning of a sentence",TRUE,,,,proper noun,2024-01-10,Nicolas Scherrer,,FALSE,FALSE,,,,,,,,,,bexio,,,,,,
bexio account,"This is the name of an account of our software.Wenn wir intern office.bexio.com meinen, sprechen wir extern vom bexio-Konto; also bspw. «Loggen Sie sich in Ihr bexio-Konto ein»; nicht von Account.",TRUE,,bexio Office account,Also used in Thommy Rüegg’s glossary,proper noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,bexio-Konto,,,compte bexio,,,account bexio,,,bexio account,FALSE,FALSE,"UI term
Marketing term
External term",,,
bexio Archive,The official brand name of our GeBüV certified archive integration,FALSE,,,Use a protected space (⌥ + space) between bexio and the product name,proper noun,2025-09-30,Nicolas Scherrer,,FALSE,TRUE,,,,,,,,,,bexio Archive,,,,,,
bexio Cockpit account,Might be used more often in the future to distinguish between Office and Cockpit,TRUE,,,,proper noun + noun,2025-05-02,Nicolas Scherrer,,TRUE,TRUE,bexio-Cockpit-Konto,,,compte bexio Cockpit,,,conto bexio Cockpit,,,bexio Cockpit account,,,,,,
bexio Credit,The official brand name of our peer-to-peer lending platform integration,TRUE,,,Use a protected space (⌥ + space) between bexio and the product name,proper noun,2024-01-10,Nicolas Scherrer,,FALSE,TRUE,,,,,,,,,,bexio Credit,,,,,,
bexio Fuduciary Update,"Das bexio Treuhand Update ist ein regelmässiges Informations- und Content-Format, das speziell auf die Bedürfnisse von Treuhändern zugeschnitten ist. Es ist Teil einer umfassenden Strategie, um Treuhänder in ihrer Rolle als ""digital CFO"" zu stärken und sie über Produktentwicklungen, Events und Service-Angebote auf dem Laufenden zu halten.",TRUE,,,,,2026-01-08,Thommy Rüegg,,TRUE,FALSE,bexio Treuhand Update,,,bexio Fiduciaires Update,,,bexio Fiduciari Update,,,bexio Fuduciary Update,FALSE,FALSE,"Label
Marketing term",,,
bexio Go,The official brand name of our mobile app,TRUE,,bexioGo,Use a protected space (⌥ + space) between bexio and the product name,proper noun,2024-01-10,Nicolas Scherrer,,FALSE,TRUE,,,,,,,,,,bexio Go,,,,,,
bexio Insider,"bexio Insider Der offizielle Newsletter für KMU-Kunden. Er fungiert als praxisorientierter Ratgeber, der über Produktneuheiten, gesetzliche Fristen und Tipps zur Prozessoptimierung informiert, um den Geschäftsalltag der Kunden zu erleichtern.",TRUE,,,,,2026-01-08,Thommy Rüegg,,FALSE,TRUE,,,,,,,,,,bexio Insider,FALSE,FALSE,"Marketing term
Label",,,
bexio lab,"Das bexio Lab ist die interne Innovationseinheit von bexio. Es fungiert als interdisziplinäre Ideen-Schmiede, in der Experten aus Technik und Design neue Technologien – insbesondere Künstliche Intelligenz – testen, um administrative Prozesse für KMU zu automatisieren und radikal zu vereinfachen.",TRUE,,,,,2026-01-08,Thommy Rüegg,,FALSE,TRUE,,,,,,,,,,bexio lab,FALSE,FALSE,"Marketing term
Internal term",,,
bexio Office,The internal name of our desktop version. Also considered the original bexio. The name is tied to the domain office.bexio.com,FALSE,,office,Use a protected space (⌥ + space) between bexio and the product name,proper noun,,Nicolas Scherrer,,FALSE,TRUE,,,,,,,,,,bexio Office,,,,,,
bexio Office account,Might be used more often in the future to distinguish between Office and Cockpit,FALSE,,Office account,,proper noun + noun,2025-05-02,Nicolas Scherrer,,TRUE,TRUE,bexio-Office-Konto,,,compte bexio Office,,,conto bexio Office,,,bexio Office account,,,,,,
bexio Pay,The official brand name of our debit card integration,TRUE,,,Use a protected space (⌥ + space) between bexio and the product name,proper noun,2024-01-10,Nicolas Scherrer,,FALSE,TRUE,,,,,,,,,,bexio Pay,,,,,,
bi-weekly,"If something repeats every 2 weeks, call it bi-weekly",TRUE,,,,adjective,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,zweiwöchentlich,,,bimensuel,,,ogni quindici giorni,,,bi-weekly,,,,,,
bill,Name of the document,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Lieferantenrechnung,,,facture fournisseur,,,fattura fornitore,,,bill,,,,,,
billing period,Used for subscriptions. Describes the billing period that can be either yearly or monthly,TRUE,,,,noun + noun,2026-02-20,Nicolas Scherrer,,TRUE,FALSE,Rechnungszeitraum,,,période de facturation,,,periodo di fatturazione,,,billing period,,,UI term,,,
bills,Name in the navigation for document type bill in the purchase section,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Lieferantenrechnungen,,,factures fournisseurs,,,fatture fornitori,,,bills,,,,,,
business loan,A loan from swisspeers,TRUE,,,,noun + noun,2025-04-25,Nicolas Scherrer,bexio Credit,TRUE,FALSE,Firmenkredit,,,prêt professionnel,,,prestito d’affari,,,business loan,,,,,,
business software,How we categorize our software,TRUE,,,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Business-Software,,,logiciel de gestion,,,software aziendale,,,business software,,,,,,
