term,description,active,related_terms,don’t,comment,part_of_speech,changed_on,changed_by,location,translatable,case_sensitive,de-CH,comment_de-CH,don’t_de-CH,fr-CH,comment_fr-CH,don’t_fr-CH,it-CH,comment_it-CH,don’t_it-CH,en-GB,SME,Fiduciary,type,technical_term_contacts,technical_term_addresses,technical_term_subscription_and_checkout
fee catalogue,The fee catalogue of swisspeers,TRUE,,,,noun + noun,2025-04-25,Nicolas Scherrer,bexio Credit,TRUE,FALSE,Gebührenkatalog,,,liste des frais,,,catalogo delle tariffe,,,fee catalogue,,,,,,
fee table,The fees that apply for a loan with bexio Credit,TRUE,,,,noun + noun,2025-09-30,Nicolas Scherrer,bexio Credit,TRUE,FALSE,Gebührenkatalog,,,tarification,,,tabella tariffe,,,fee table,,,,,,
fiduciary,With the Cockpit we introduced inconsistencies on how we referr to accountants or fiduciaries. In office.bexio.com we referr to them as accountants and in Cockpit we call them fiduciaries,TRUE,,,,noun,2025-08-26,Nicolas Scherrer,bexio Cockpit,TRUE,FALSE,Treuhänder,,,fiduciaire,,,fiduciario,,,fiduciary,,,,,,
fiduciary company,The way we refer to a company that is in the fiduciary sector,TRUE,,,,noun + noun,2025-05-02,Nicolas Scherrer,bexio Cockpit,TRUE,FALSE,Treuhandunternehmen,,Treuhandfirma,société fiduciaire,,,società fiduciaria,,,fiduciary company,,,,,,
final balance sheet,Name of a system accounting account. Can be used to add the balance sheet of a previous year to accounting without the accounting onboarding wizard,TRUE,,,,adjective + noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Schlussbilanz,,,bilan de clôture,,,bilancio di chiusura,,,final balance sheet,,,,,,
financial accounting,German abbreviation for financial accounting,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,FIBU,,,comptabilité financière,,,contabilità finanziaria,,,financial accounting,,,,,,
financial accounting,Official name of accounting,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Finanzbuchhaltung,,,comptabilité financière,,,contabilità finanziaria,,,financial accounting,,,,,,
financial services,Name in the navigation for embedded finance topics,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Finanzdienstleistungen,,,services financiers,,,servizi finanziari,,,financial services,,,,,,
first name,Label of input field,TRUE,,,,noun,2025-04-29,Nicolas Scherrer,,TRUE,FALSE,Vorname,,,prénom,,,nome,,,first name,,,,,,
fiscal year,"The year from an accounting perspective. May differ from the calendar year, for example for seasonal companies",TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Geschäftsjahr,,,exercice,,,esercizio,,,fiscal year,,,,,,
form of reporting,The overarching term for agreed consideration and consideration collected for the form of reporting the VAT to the federal tax administration,TRUE,,,,noun + preposition + noun,2025-09-12,Nicolas Scherrer,,TRUE,FALSE,Abrechnungsart,,,mode de décompte,,,sistema di rendiconto,,,form of reporting,,,,,,
FTA,Abbreviation of Federal Tax Administration,TRUE,Federal Tax Administration,,,proper noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,ESTV,,,AFC,,,AFC,,,FTA,,,,,,
GeBüV,German abbreviation for “ordinance for keeping and retaining accounting records”. The Swiss government has not provided any English translation for the abbreviation and uses the German abbreviation too,TRUE,ordinance for keeping and retaining accounting records,OKRAR,,noun,2026-02-10,Nicolas Scherrer,,TRUE,TRUE,GeBüV,,,Olico,,,Olc,,,GeBüV,,,,,,
help center,Where our users can get help. Support articles live in our help center,TRUE,,,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Supportbereich,,,centre d’aide,,,centro assistenza,,,help center,,,,,,
house no.,Label for input field. Always combined with street. House is the prefix to no. if there is another no. present on the same screen,TRUE,street,house number,,noun + noun,2025-05-13,Nicolas Scherrer,,TRUE,FALSE,Haus-Nr.,,Hausnr.,nº de bâtiment,,,n. civico,,,house no.,,,,,,
in progress,Status. Used for time trackings,TRUE,,,,adjective,2025-09-22,Nicolas Scherrer,,TRUE,FALSE,in Arbeit,,,en cours de traitement,,,in preparazione,,,in progress,,,,,,
income,1 out of 5 accounting account classifications. Used for structuring the chart of accounts and subsequently the balance sheet and income statement,TRUE,"account
account group
account classification
accounting account",,,noun,2025-10-03,Nicolas Scherrer,,TRUE,FALSE,Ertrag,,,revenus,,,ricavi,,,income,,,,,,
income statement,Report for year-end-closing. Contains income and expenses,TRUE,"account classification
account
account group
accounting account",,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Erfolgsrechnung,,,compte de résultat,,,conto economico,,,income statement,,,,,,
incoming payment,"Payment on the sales documents. If space is at a premium on mobile for example, use payment",TRUE,,,,adjective + noun,2025-09-08,Nicolas Scherrer,,TRUE,FALSE,Zahlungseingang,,,encaissement,,,pagamento in entrata,,,incoming payment,,,,,,
individual price,Used in sales documents. Label for the individual price of the positions,TRUE,,,,adjective + noun,2025-08-19,Nicolas Scherrer,,TRUE,FALSE,Einzelpreis,,,prix unitaire,,,prezzo unitario,,,individual price,,,,,,
interest,The interest customers have to pay for their business loan from swisspeers depending on their credit score,TRUE,,,,noun,2025-04-25,Nicolas Scherrer,bexio Credit,TRUE,FALSE,Zins,,,intérêt,,,interessi,,,interest,,,,,,
interest rate,Interest rate of the loan,TRUE,,,,noun,2025-04-25,Nicolas Scherrer,bexio Credit,TRUE,FALSE,Zinssatz,,,taux d’intérêt,,,tasso di interesse,,,interest rate,,,,,,
invite,"Team members are never created, we invite them via email",TRUE,,,,verb,2024-01-10,Nicolas Scherrer,bexio Cockpit,TRUE,FALSE,einladen,,,inviter,,,invita,,,invite,,,,,,
invoice,Name of the document,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Rechnung,,,facture,,,fattura,,,invoice,,,,,,
invoiced,Status. Used for time trackings,TRUE,,,,adjective,2025-09-22,Nicolas Scherrer,,TRUE,FALSE,fakturiert,,,facturé,,,fatturati,,,invoiced,,,,,,
invoices,Name in the navigation for document type Invoice in the sales section,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Rechnungen,,,factures,,,fatture,,,invoices,,,,,,
journal,The heart of every accounting. Every single posting is in the journal,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Journal,,,journal,,,giornale,,,journal,,,,,,
Kamuno,Our partners for bexio Credit,TRUE,,,,proper noun,2025-09-26,Nicolas Scherrer,bexio Credit,FALSE,TRUE,,,,,,,,,,Kamuno,,,,,,
language,Use this to select a language,TRUE,,,,noun,2025-09-08,Nicolas Scherrer,,TRUE,FALSE,Sprache,,,langue,,,lingua,,,language,,,,,,
last name,Label of input field,TRUE,,,,noun,2025-04-29,Nicolas Scherrer,,TRUE,FALSE,Nachname,,,nom,,,cognome,,,last name,,,,,,
legal form,"Label of input field. The legal form of a company. Can be LTD, LLC or sole proprietorship in Switzerland",TRUE,,,,adjective + noun,2025-04-29,Nicolas Scherrer,,TRUE,FALSE,Rechtsform,,,forme juridique,,,forma giuridica,,,legal form,,,,,,
liability,1 out of 5 accounting account classifications. Used for structuring the chart of accounts and subsequently the balance sheet and income statement,TRUE,"account
account classification
account group
accounting account",,,noun,2025-10-03,Nicolas Scherrer,,TRUE,FALSE,Passiv,,,passif,,,passivo,,,liability,,,,,,
link,Write link in the banking section when it’s about connecting your bexio bank account to your e-banking,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Verknüpfung,,,connexion,,,collegamento,,,link,,,,,,
LLC,Abbreviation for limited liability company,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,GmbH,,,SÀRL,,,SAGL,,,LLC,,,,,,
loan amount,The amount of the loan. Between CHF 50.000 and 1.000.000,TRUE,,,,noun + noun,2025-04-25,Nicolas Scherrer,bexio Credit,TRUE,FALSE,Kreditbetrag,,,montant du prêt,,,importo del prestito,,,loan amount,,,,,,
login,"When a user already has an account, call it the login",TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Login,Use the article das for German,,login,,,login,,,login,,,,,,
LTD,Abbreviation for limited company,TRUE,,,,,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,AG,,,SA,,,SA,,,LTD,,,,,,
main address,"The address of a contact. Contains name, street, house no., pc, city, address addition and company name addition",TRUE,,,,adjective + noun,2025-11-04,Nicolas Scherrer,,TRUE,FALSE,Hauptadresse,,,adresse principale,,,indirizzo principale,,,main address,,,,,,
main contact,A contact can have multiple linked addresses. But there is always only 1 main contact,TRUE,,,,adjective + noun,2025-05-27,Nicolas Scherrer,,TRUE,FALSE,Hauptkontakt,,,contact principal,,,contatto principale,,,main contact,,,,,,
manual entry,A single manual posting in the accounting,TRUE,,,,adjective + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,manuelle Buchung,,,ecriture manuelle,,,registrazione manuale,,,manual entry,,,,,,
Marketplace,Brand name of our Marketplace,TRUE,App Marketplace,,,proper noun,2024-01-10,Nicolas Scherrer,,FALSE,FALSE,,,,,,,,,,Marketplace,,,,,,
mobile,Label of input field. Used for mobile phone number,TRUE,,,,noun,2025-04-29,Nicolas Scherrer,,TRUE,FALSE,Mobile,,,mobile,,,cellulare,,,mobile,,,,,,
monthly average exchange rate,Singular of monthly average exchange rates,TRUE,,,,adjective + noun + noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Monatsmittelkurs,,,cours moyen mensuel,,,corso a metà mese,,,monthly average exchange rate,,,,,,
monthly average exchange rates,The automatically obtained monthly conversion rates from the Swiss Federal Tax Administration (FTA),TRUE,,,,adjective + noun + noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Monatsmittelkurse,,,cours moyens mensuels,,,corsi di metà mese,,,monthly average exchange rates,,,,,,
monthly payment,The monthly payback for the business loan,TRUE,,,,adjective + noun,2025-04-25,Nicolas Scherrer,bexio Credit,TRUE,FALSE,monatliche Rate,,,paiement mensuel,,,pagamento mensile,,,monthly payment,,,,,,
name addition,Label of input field,TRUE,,,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Namens-Zusatz,,,ajout de nom,,,aggiunta di nome,,,name addition,,,,,,
net balance,Is an instrument to check if your accounting is balanced. Mostly used before the actual balance sheet is created for the year-end closing,TRUE,,,,adjective + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Saldobilanz,,,balance des soldes,,,saldo netto,,,net balance,,,,,,
net tax,A method to report VAT to the federal tax administration,TRUE,,,,adjective + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Saldosteuer,,,taux de la dette fiscale nette,,,aliquota saldo,,,net tax,,,,,,
net tax rate method,1 of the 2 taxation methods,TRUE,,,,adjective + noun + noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Saldobesteuerung,,,dette fiscale nette,,,rendicontazione con imposte nette,,,net tax rate method,,,,,,
no.,"Always use the abbreviation for number. No. is used in various places. If there is more than 1 no. on a screen, specify the no. with a prefix e.g. within contact creation (Contact no. and House no.). Label for input field. Often combined with street",TRUE,nos,number,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Nr.,,,nº,,,n.,,,no.,,,,,,
nos,Plural of number. Never use a point after the abbreviation,TRUE,no.,"nos., numbers",,noun,2025-05-23,Nicolas Scherrer,,TRUE,FALSE,Nrn.,,,nº,,,n.,"Plural is defined by it’s context, the abbreviation stays the same",,nos,,,,,,
NTR,Abbreviation for “net tax rate”,TRUE,,,,adjective + noun,2026-03-27,Nicolas Scherrer,,TRUE,TRUE,SSS,,,TDN,,,AFN,,,NTR,,,,,,
OK,Name for buttons and abbreviation for okay,TRUE,cancel,,"Try to use a clearer verb instead. For example, save, accept, decline and so on",verb,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,OK,Use the article “das” for German,,OK,,,OK,,,OK,,,,,,
one-off fee,One time fee for the business loan,TRUE,,,,adjective + noun,2025-04-25,Nicolas Scherrer,bexio Credit,TRUE,FALSE,einmalige Gebühr,,,frais uniques,,,tassa una tantum,,,one-off fee,,,,,,
online accounting,That is how we categorize our software,TRUE,,,,adjective + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Online-Buchhaltung,,,comptabilité en ligne,,,contabilità online,,,online accounting,,,,,,
opening balance sheet,Name of a system accounting account. Can be used to open a fiscal year with manual entries,TRUE,,,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Eröffnungsbilanz,,,bilan d’ouverture,,,bilancio di apertura,,,opening balance sheet,,,,,,
opening entries,"In the beginning of a fiscal year, the balances from the previous fiscal year are carried over with postings. These are called opening entries",TRUE,,,,adjective + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Eröffnungsbuchungen,,,écritures d’ouverture,,,registrazioni iniziali,,,opening entries,,,,,,
order,Name of the document,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Auftrag,,,commande client,,,ordine,,,order,,,,,,
orders,Name in the navigation for document type order in the sales section,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Aufträge,,,commandes clients,,,ordini,,,orders,,,,,,
ordinance for keeping and retaining accounting records,"The full form of “GeBüv”. Since there is no translated abbreviation provided by the Swiss government and because they use the German abbreviation too, we do the same",TRUE,GeBüV,,,noun + preposition + noun + conjunction + noun + noun + noun,2026-02-10,Nicolas Scherrer,,TRUE,FALSE,Geschäftsbücherverordnung,,,ordonnance concernant la tenue et la conservation des livres de comptes,,,ordinanza sui libri di commercio,,,ordinance for keeping and retaining accounting records,,,"UI term
Marketing term",,,
package,The name for one of our subscriptions or packages,TRUE,"package and options
packages",plan,It used to be plan and then we changed it to package for Nova,noun,2026-02-13,Nicolas Scherrer,,TRUE,FALSE,Paket,,,package,,,pacchetto,,,package,,,,,,
package and options,Name in the settings of the bexio Office account,TRUE,"package
packages","plan and options, plans and options",It used to be plan and then we changed it to package for Nova,noun + conjunction + noun,2026-02-13,Nicolas Scherrer,,TRUE,FALSE,Paket und Optionen,,,package et options,,,pacchetto e opzioni,,,package and options,,,,,,
packages,Plural of package,TRUE,"package
package and options",plans,It used to be plans and then we changed it to packages for Nova,noun,2026-02-13,Nicolas Scherrer,,TRUE,FALSE,Pakete,,,packages,,,pacchetti,,,packages,,,,,,
paid,"Document status, always capitalised",TRUE,,,,adjective,2025-09-04,Nicolas Scherrer,,TRUE,FALSE,Bezahlt,,,payée,,,pagato,,,paid,,,,,,
parent group,Account groups can be nested. Parent groups are on a higher level than the account groups,TRUE,account group,,,noun + noun,2025-10-03,Nicolas Scherrer,,TRUE,FALSE,übergeordnete Gruppe,,,groupe parent,,,gruppo principale,,,parent group,,,,,,
partial,"Document status, always capitalised",TRUE,,,,adjective,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,teilweise,,,partiel,,,parzialmente,,,partial,,,,,,
payable by,This is a label. It is used for the date an invoice or a bill has to be payed,TRUE,,,,adjective + preposition,2025-07-11,Nicolas Scherrer,,TRUE,FALSE,zahlbar bis,,,payable jusqu’au,,,pagabile entro,,,payable by,,,,,,
payment method,The choice of how our users pay for their package. E.g. credit card or invoice,TRUE,,,,payment method,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Zahlungsart,,,mode de paiement,,,metodo di pagamento,,,payment method,,,,,,
payment order,Singular of payment orders,TRUE,,,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Zahlungsauftrag,,,ordre de paiement,,,ordine di pagamento,,,payment order,,,,,,
payment orders,"We do not create payments, we create payment orders for the banks. Therefore, call it payment orders",TRUE,,,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Zahlungsaufträge,,,ordres de paiement,,,ordini di pagamento,,,payment orders,,,,,,
payout,Paid out amount of the business loan,TRUE,,,,noun,2025-04-25,Nicolas Scherrer,bexio Credit,TRUE,FALSE,ausbezahlter Betrag,,,versement,,,pagamento,,,payout,,,,,,
payroll,Name of the option for payroll in plan management,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Lohnbuchhaltung,,,comptabilité des salaires,,,contabilità salariale,,,payroll,,,,,,
payroll,Name in the navigation for payroll,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Löhne,,,salaires,,,salari,,,payroll,,,,,,
paystub,With every salary the employees get a paystub,TRUE,paystubs,,,noun,2025-06-03,Nicolas Scherrer," Payroll",TRUE,FALSE,Lohnabrechnung,,,décompte de salaire,,,calcolo del salario,,,paystub,,,,,,
paystubs,Plural of paystub,TRUE,paystub,,,noun,2025-07-07,Nicolas Scherrer," Payroll",TRUE,FALSE,Lohnabrechnungen,,,décomptes de salaire,,,calcoli dei salari,,,paystubs,,,,,,
PC,Label of input field. Abbreviation for postcode. Use this if you are short on space,TRUE,,,,noun,2025-04-29,Nicolas Scherrer,,TRUE,FALSE,PLZ,,,NPA,,,NPA,,,PC,,,,,,
PDF page break,Used on sales documents. It adds a page break on the PDF version of the document,TRUE,,,,noun + noun,2025-08-19,Nicolas Scherrer,,TRUE,FALSE,PDF-Seitenumbruch,,,saut de page PDF,,,interruzione pagina PDF,,,PDF page break,,,,,,
pending,"Status. Used for quotes, orders, invoices, credit notes, purchase orders, bills, vendor credit notes, time trackings, tasks",TRUE,,,,adjective,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,offen,,,en suspens,,,in sospeso,,,pending,,,,,,
percentage,Used in a discount position on a sales document. For discounts you can choose if it’s an amount or a percentage,TRUE,,,,noun,2025-08-19,Nicolas Scherrer,,TRUE,FALSE,Prozentsatz,,,pourcentage,,,percentuale,,,percentage,,,,,,
phone,Label of input field. Used for phone number,TRUE,,,,noun,2025-04-29,Nicolas Scherrer,,TRUE,FALSE,Telefon,,,téléphone,,,telefono,,,phone,,,,,,
picture,Refers to profile pictures,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Bild,,,image,,,immagine,,,picture,,,,,,
plug-in,Can also be an add-on,FALSE,,,,noun,,Nicolas Scherrer,,TRUE,FALSE,Plug-in,,,plug-in,,,plug-in,,,plug-in,,,,,,
position,A single item on a sales document is called a position,TRUE,,,,noun,2025-09-04,Nicolas Scherrer,,TRUE,FALSE,Position,,,position,,,posizione,,,position,,,,,,
postcode,Label of input field. Use this spelling instead of the abbreviation if you have enough space,TRUE,,zip code,,noun,2025-04-29,Nicolas Scherrer,,TRUE,FALSE,Postleitzahl,,,numéros postaux d’acheminement,,,numeri postali di avviamento,,,postcode,,,,,,
pre-tax,The name of the tax rates when you buy things,TRUE,,,"Means before tax is paid. As there is no official translation from the FTA, we should think about alternatives. The source of truth is the German term.",noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Vorsteuer,,,impôt préalable,,,IVA precedente,,,pre-tax,,,,,,
private,One of the contact types private or company,TRUE,,,"Would make sense to change it to person. If it is used as a noun, it means soldier.",adjective,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Privat,,,privé,,,privato,,,private,,,,,,
process,A process is an overarching project that holds work steps.,TRUE,,,,noun,2025-06-05,Nicolas Scherrer,bexio Cockpit,TRUE,FALSE,Prozess,,,processus,,,processo,,,process,,,,,,
product,Within the section products this is one product,TRUE,,,,noun,2025-08-19,Nicolas Scherrer,,TRUE,FALSE,Produkt,,,produit,,,prodotto,,,product,,,,,,
product type,In our product section. Can be goods or service,TRUE,,,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Produktart,,,type de produit,,,prodotto,,,product type,,,,,,
products,Name of the section in the navigation,TRUE,,,,noun,2025-08-19,Nicolas Scherrer,,TRUE,FALSE,Produkte,,,produits,,,prodotti,,,products,,,,,,
proposal,Only used in the address split wizard. A proposal is the short form for a proposed address after the address split,TRUE,,,,noun,2025-11-04,Nicolas Scherrer,,TRUE,FALSE,Vorschlag,,,proposition,,,proposta,,,proposal,,,,,,
proposed address,Only used in the address split wizard. Users can approve the proposals or edit them themselves,TRUE,,,,adjective + noun,2025-11-04,Nicolas Scherrer,,TRUE,FALSE,vorgeschlagene Adresse,,,adresse proposée,,,indirizzo proposto,,,proposed address,,,,,,
purchase,Name of the section in the navigation,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Einkauf,,,achat,,,acquisto,,,purchase,,,,,,
purchase order,Name of the document,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Bestellung,,,commande,,,ordinazione,,,purchase order,,,,,,
purchase orders,Name in the navigation for document type purchase order in the purchase section,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Bestellungen,,,commandes,,,ordinazioni,,,purchase orders,,,,,,
QR invoice,Features a QR code with a Swiss cross as an identifying feature. The Swiss QR code contains all the information necessary for a payment in digital form. This ensures improved security and enables a smoother financial process,TRUE,,,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,QR-Rechnung,,,facture QR,,,fattura QR,,,QR invoice,,,,,,
quantity,Used in a default position on a sales document,TRUE,,,,noun,2025-09-02,Nicolas Scherrer,,TRUE,FALSE,Menge,,,quantité,,,quantità,,,quantity,,,,,,
quote,Name of the document,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Angebot,,,offre,,,offerta,,,quote,,,,,,
quotes,Name in the navigation for document type offer in the sales section,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Angebote,,,offres,,,offerte,,,quotes,,,,,,
reconciliation,Name of the function in the banking section to link or reconcile bank transactions with documents in bexio,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Abgleich,,,rapprochement,,,riconciliazione,,,reconciliation,,,,,,
record ID,"For contact import. Must correspond to the contact import template, otherwise the import will not work. Therefore without hyphen",TRUE,,,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Datensatz ID,,,identifiant du fichier de données,,,ID del record,,,record ID,,,,,,
repeating process,"If a process happens again and again, we call it a repeating process",TRUE,,,,adjective + noun,2024-01-10,Nicolas Scherrer,bexio Cockpit,TRUE,FALSE,wiederholender Prozess,,,processus récurrent,,,processo ricorrente,,,repeating process,,,,,,
reporting method,The overarching term for the effective method and the net tax method for reporting the VAT to the federal tax administration,TRUE,,,,noun + noun,2025-05-02,Nicolas Scherrer,,TRUE,FALSE,Abrechnungsmethode,,,méthode de décompte,,,metodo di rendiconto,,,reporting method,,,,,,
reporting period,The name of the periods within the VAT statement in bexio,TRUE,,,,noun,2025-08-04,Nicolas Scherrer,,TRUE,FALSE,Abrechnungsperiode,,,période de décompte,,,periodo di rendiconto,,,reporting period,,,,,,
responsible,"Who is responsible for a client, process or work step",TRUE,,,,adjective,2024-01-10,Nicolas Scherrer,bexio Cockpit,TRUE,FALSE,zuständig,,,responsable,,,responsabile,,,responsible,,,,,,
salary payment,Employees get paid for their work. Every month they get a salary payment,TRUE,,,,noun + noun,2025-06-03,Nicolas Scherrer," Payroll",TRUE,FALSE,Lohnzahlung,,,versement de salaire,,,pagamento dello stipendio,,,salary payment,,,,,,
sales,Name of the section in the navigation,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Verkauf,,,ventes,,,vendita,,,sales,,,,,,
sales tax,The name of the taxe rates that you use when you are selling things,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Umsatzsteuer,,,taxe sur le chiffre d’affaires,,,IVA,,,sales tax,,,,,,
salutation,Label of input field,TRUE,,form of address,,noun,2025-04-29,Nicolas Scherrer,,TRUE,FALSE,Anrede,,,formule d’appel,,,saluto,,,salutation,,,,,,
save,"If a change will be fixed, write save",TRUE,,,,verb,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,speichern,,,enregistrer,,,salvare,,,save,,,,,,
self-employed,A person who carries a trade or business as a sole proprietor or an independent contractor is self-employed,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Selbstständige,,,indépendants,,,lavoratori indipendenti,,,self-employed,,,,,,
service performed,This is an option for time trackings to mark them as Done,TRUE,,,,noun + verb,2025-06-06,Nicolas Scherrer,,TRUE,FALSE,Leistung erledigt,,,prestation effectuée,,,prestazione effettuata,,,service performed,,,,,,
settle,The name of the action to settle a credit note with an invoice,TRUE,,,,verb,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,verrechnen,,,régler,,,compensare,,,settle,,,,,,
settled,"Document status, always capitalised",TRUE,,,,adjective,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,verrechnet,,,clôturé,,,compensato,,,settled,,,,,,
show,"If you want to display a dataset, call it show",TRUE,,display,,verb,2025-05-27,Nicolas Scherrer,,TRUE,FALSE,anzeigen,,,afficher,,,mostra,,,show,,,,,,
sign up,The verb for the noun the sign-up,TRUE,sign-up,,,verb,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,registrieren,,,inscrivez-vous,,,registrati,,,sign up,,,,,,
sign-up,"If a user doesn’t have a bexio account, yet, they have to sign up for one. Call that process the sign-up",TRUE,sign up,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Registrierung,,,inscription,,,registrazione,,,sign-up,,,,,,
SMB,Abbreviation for small and medium-sized business,TRUE,,SME,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,KMU,,,PME,,,PMI,,,SMB,,,,,,
sole proprietorship,One of the legal forms in Switzerland,TRUE,,,,noun,2025-04-29,Nicolas Scherrer,,TRUE,FALSE,Einzelunternehmen,,,entreprise individuelle,,,impresa individuale,,,sole proprietorship,,,,,,
split address,The action to split the address. Connected to structured addresses,TRUE,,,,verb + noun,2025-06-24,Nicolas Scherrer,,TRUE,FALSE,Adresse aufteilen,,,fractionner l’adresse,,,dividi indirizzo,,,split address,,,,,,
standard position,The default position of a sales document,TRUE,,,,adjective + noun,2025-09-08,Nicolas Scherrer,,TRUE,FALSE,Standardposition,,,position par défaut,,,posizione predefinita,,,standard position,,,,,,
start-up,"A new company or business venture, typically characterized by high growth potential and a focus on innovation",TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Startup,,,startup,,,startup,,,start-up,,,,,,
status,Status of documents etc.,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Status,,,statut,,,stato,,,status,,,,,,
street,Label of input field. Often combined with no.,TRUE,house no.,"street name, address",,noun,2025-04-29,Nicolas Scherrer,,TRUE,FALSE,Strasse,,,rue,,,via,,,street,,,,,,
subject to VAT,Tax setting to determine if a company has to pay VAT. Answer can be yes or no,TRUE,,,,adjective + preposition + noun,2025-09-12,Nicolas Scherrer,,TRUE,FALSE,MWST-pflichtig,,,assujetti à la TVA,,,soggetto a IVA,,,subject to VAT,,,,,,
subscription,"If customers are paying for their bexio account, it’s called a subscription",TRUE,,,,noun,2025-05-19,Nicolas Scherrer,,TRUE,FALSE,Abonnement,,,abonnement,,,abbonamento,,,subscription,,,,,,
subscription change,"If customers up- or downgrade or add or remove options, it’s a subscription change. This works both ways",TRUE,,"downgrade, upgrade",,noun + noun,2025-05-30,Nicolas Scherrer,,TRUE,FALSE,Abonnement-Wechsel,,,modification d’abonnement,,,modifica dell’abbonamento,,,subscription change,,,,,,
subscription end,"The date when the subscription ends. For a monthly subscription this is earlier than for a yearly one. After the end, the subscription renews",TRUE,,,,noun + noun,2025-06-17,Nicolas Scherrer,,TRUE,FALSE,Abonnement-Ende,,,fin de l’abonnement,,,fine abbonamento,,,subscription end,,,,,,
subscription start,The date when the subscription starts,TRUE,,,,noun + noun,2025-06-17,Nicolas Scherrer,,TRUE,FALSE,Abonnement-Beginn,,,début de l’abonnement,,,inizio abbonamento,,,subscription start,,,,,,
